Salsifí,23,18,0.3,0,4,0.4,0,1.8,ND,0.2,86.5
Semilla de guaje verde,29,28,2.5,0.2,4,0.5,2.3,11.7,ND,1.1,ND
Setas cocidas,78,21,2.5,0.3,3.4,2,0,ND,ND,ND,ND
Setas crudas,85,23,2.7,0.3,3.7,2.1,0,2.6,17.9,3.7,314.5
Tomate verde,86,21,0.9,0.2,3.9,2.1,1.7,1.7,ND,0.4,175.4
Tomatitos (tomatiles),65,26,2.3,0.1,4.1,0.8,112.6,29.7,ND,4.5,131.6
Verdolaga cocida,115,21,1.7,0.2,4.1,0.9,107,12.1,10.4,0.9,561.1
Verdolaga cruda limpia,192,31,2.5,0.2,6.6,1.5,126.7,40.3,23,3.8,948.5
"Verdura (mexcla) congelada, cocida sin sal",46,30,1.3,0.1,4.6,2,97.4,1.5,8.6,0.4,76.9
Xoconostle,71,18,0.1,0.3,3.7,1.6,1.4,15.7,ND,0.2,ND
Yemitas (hongos) crudas,160,27,4.8,1.7,6.4,3.6,0,6.1,ND,6,ND
Yerbamora cruda,41,21,2,0.3,3.6,0.6,13.9,49.2,ND,3.7,ND
Zanahoria miniatura cruda,60,21,0.4,0.1,4.9,1.7,414,1.6,16.2,0.5,142.2
Zanahoria picada cruda,64,26,0.6,0.2,4.3,1.8,534.4,3.8,12.2,0.2,204.8
Zanahoria rallada cruda,55,23,0.5,0.1,4.1,1.5,459.3,3.2,10.5,0.2,176
