Papaya hawaiana,152,114,45,0.7,0.2,11.2,2.1,23.9,70.5,43.3,0.1,292.9,0
Papaya picada,140,140,55,0.8,0.1,13.7,2.5,29.4,86.5,53.2,0.1,359.8,0
Papilla de chabacano con tapioca,98,98,61,0.3,0,16.9,1.5,70.2,2,1.5,0.3,118,1.4
Papilla de ciruela con tapioca,98,98,68,0.6,0.1,18.2,2.6,43.9,1,0.2,0.4,172.6,10.7
Papilla de durazno,98,98,63,0.9,0.3,14.1,1.3,15.6,2.9,3.8,0.2,158,11.2
Papilla de frutas mixtas,98,98,59,0.2,0,16,ND,0,30.2,0,0.2,81.9,0
Papilla de guayaba y papaya con tapioca,98,98,61,0.2,0.1,16.6,ND,0,100.6,0,0.1,146.3,0
Papilla de mango con tapioca,85,85,59,0.3,0.2,16.1,0.9,56.6,1.7,0,0.1,49.9,11
Papilla de manzana,85,85,61,0.3,0,16.6,ND,1.7,0,0.3,0.2,42.3,0
Papilla de manzana y chabacano,130,130,61,0.3,0.3,16.1,2.3,50.7,2,1.7,0.1,156,11.3
Papilla de pera,98,98,56,0.3,0.1,13.3,1.2,2.9,2,3.5,0.2,126.8,8.4
Papilla de pera y piña,130,130,57,0.4,0.3,14.8,3.4,3.9,2.6,3.6,0.3,150.8,9.6
Papilla de platano y piña con tapioca,98,98,66,0.2,0.1,17.9,1.6,3.9,2,5.4,0.1,76.1,8.2
Pasas,20,20,59,0.5,0.1,15.7,1.4,0,1,0.6,0.5,165,0
Pasitas,20,20,59,0.5,0.1,15.7,1.4,0,1,0.6,0.5,165,0
Pasitas en semilla,20,20,60,0.6,0.1,15.8,0.7,0.2,0.6,0.6,0.4,150.2,11.8
Pera,95,81,47,0.3,0.1,12.5,2.5,1.5,3.4,5.8,0.2,101.2,7.9
Pera asiática,138,117,49,0.6,0.3,12.4,4.2,0,4.4,0,0,141.8,8.2
Pera bartlett,91,77,45,0.3,0.1,12,2.4,1.4,3.3,5.6,0.2,96.9,7.6
Pera d´anjou,95,81,47,0.3,0.1,12.5,2.5,1.5,3.4,5.8,0.2,101.2,7.9
Pera de agua,91,74,43,0.3,0.1,11.4,2.3,1.3,3.1,5.6,0.2,92.4,7.2
Pera de San Juan,130,105,61,0.4,0.1,16.3,3.3,1.9,4.4,7.6,0.3,131.9,10.3
Pera deshidratada,18,18,46,0.3,0.1,12.2,1.3,0,1.2,0,0.4,93.3,0
Pera en almibar,76,76,44,0.3,0.1,11.7,2.4,0,0.6,0.9,0.2,50.3,7.4
Pera mantequilla,83,70,41,0.3,0.1,10.8,2.2,1.3,3,5.1,0.2,87.9,6.9
Pera picada,150,150,63,0.8,0.3,16,5.4,2.7,6.3,10.8,0.4,188,10.6
Pera piña,100,80,46,0.3,0.1,12.4,2.5,1.4,3.4,5.8,0.2,100.2,7.8
Pera rebanada,98,98,41,0.5,0.2,10.4,3.5,1.8,4.1,7,0.2,122.2,6.9
Pera roja,90,81,47,0.3,0.1,12.5,2.5,0,0.6,1,0.2,53.6,7.9
Pera roja rebanada,80,80,46,0.3,0.1,12.4,2.5,0,0.6,1,0.2,52.9,7.8
Perón,150,105,65,0.4,0.4,16.7,2.2,1.1,5.3,0,0.8,0,0
Perón picado,125,125,78,0.5,0.5,19.9,2.6,1.3,6.3,0,1,0,0
Pérsimo,50,50,64,0.4,0.2,16.8,ND,0,34,0,1.3,156,0
Pérsimo japonés,84,84,59,0.5,0.2,15.6,3,182.5,6.5,6.5,0.1,135,10.5
Piña en almibar,50,50,42,0.2,0.1,10.8,0.4,0.5,2,2.3,0.7,51.3,0
Piña en almibar,63,63,53,0.2,0.1,13.6,0.5,0.7,4.7,3,0.2,65.8,0
Piña picada,124,124,62,0.7,0.1,16.2,1.7,2.4,19.2,12.8,0.5,139.7,12.2
Piña rebanada,84,84,42,0.5,0.1,11,1.2,1.6,13,8.7,0.3,94.8,8.3
Pitahaya,240,108,52,1.7,0.6,11.2,2.2,0,17.3,0,2.1,0,0
Plátano,80,54,48,0.6,0.2,12.4,1.4,4.3,4.8,10.5,0.2,215.2,6.7
Plátano deshidratado,20,20,69,0.8,0.4,17.7,2,0,0,0,0,0,9.5
Plátano dominico,105,57,54,0.1,0.1,14,1.2,20.4,13,12.5,0.7,209.8,7.4
Plátano machacado,56,56,50,0.6,0.2,12.8,1.5,34.9,7.3,12.4,0.4,208.1,6.9
Plátano macho,95,49,95,0.5,0.2,11.6,1,38,4.4,9.4,0.1,195.6,6
Plátano macho rebanado,51,51,99,0.5,0.3,12,1.1,39.5,4.6,9.8,0.2,203.3,6.3
Plátano manzano,90,49,47,0.5,0.3,11.8,1,6.8,6.3,10.7,0.6,179.8,5.9
Plátano morado,90,49,41,0.9,0.1,10.3,1,20.4,3.9,10.7,0.7,179.8,5.9
Pomarosa,140,95,60,0.6,0.2,15.6,1.3,32.4,20.9,0,0.4,117.1,0
Pomelo,260,153,58,0.9,0.2,14.7,0.3,0,93.6,18.4,0.2,331.3,0
Prisco,175,154,59,0.9,0.2,14.9,2.2,53.9,15.4,0,0.5,311.1,0
Pulpa de fresa,25,25,44,0.1,0.1,11.9,0.2,0,0,0,0,0,0
Pulpa de guanabana,25,25,45,0.1,0.1,12.3,0.1,0,0,0,0,0,0
