Galleta salada integral,16,70,1.6,1.9,11.2,0.4,0,4.3,0.1,108.8,0.6
Galleta salada molida,15,65,1.3,2,10.5,0,1.1,7.4,0.2,165,ND
Galleta de avena pasas,15,61,1.3,2,9.5,1.3,0,0,0,57,4.7
Galletas de maíz horneadas sin grasa (salmas),18,64,1.4,0.6,13,1.4,0,0,0,67.9,ND
Galletas Marías,19,69,1.3,1.3,13.8,0.1,6.3,0,0.5,110.6,11.3
Galletas Marias azucaradas,16,63,1,1.5,11.5,0.1,32.8,0,2.2,98,3.5
Gluten de trigo,18,68,7.5,0.3,8.5,0,0,7.2,0,0.4,ND
Granola baja en grasa,18,70,1.5,1.1,14.4,1.1,36.7,7,0.7,44.1,4.4
"Granola con frura seca, baja en grasas",18,69,1.3,0.8,14.4,1,0,6.5,0.5,68.7,6.2
Habaneras Bran trigo entero,18,72,1.7,2.4,11,1.6,0,0,0,90,0.8
habaneras Clásicas,18,75,1.8,1.7,13.1,0.6,0,0,1.6,128.7,0.3
Habaneras integrales,18,69,1.9,1.6,11.9,1.5,0,0,1.7,83.7,0.3
Harina,20,73,2.1,0.2,15.3,0.5,5.3,3,0.9,0.5,0.3
Harina blanca,20,73,2.1,0.2,15.3,0.5,5.3,3,0.9,0.5,0.3
Harina blanca refinada,20,73,2.1,0.2,15.3,0.5,5.3,3,0.9,0.5,0.3
Harina de alforfón,20,67,2.5,0.6,14.1,2,0,0,0,7,0.5
Harina de amaranto,19,68,2.7,1,11.9,1.3,0,0,0,0.2,ND
Harina de arroz,20,72,1.4,0.6,15.1,0.9,3.1,2.1,0.4,1.6,0.2
Harina de arroz refinada,20,75,1.2,0.3,16.3,0.5,0.9,2,0.1,0,ND
Harina de cebada,18,62,2.2,0.3,10.9,2.2,0,0,0,0.4,ND
Harina de centeno ,18,63,2.1,0.3,13.6,0.2,0,4.9,0.5,0.2,ND
Harina de centeno integral,20,65,2.8,0.5,13.8,4.5,12,11.3,1.3,0.2,ND
Harina de maíz,18,65,1.7,0.7,13.6,1.7,4.2,25.2,1.3,0.9,ND
Harina de maíz nixtamalizada,18,65,1.7,0.7,13.6,1.7,4.2,25.2,1.3,0.9,ND
Harina de maíz para atole,15,60,1.2,0.8,11.8,0.2,0,5.3,0.4,0,ND
Harina de maíz para tamales,14,62,1.4,0.7,12.7,0.1,0,19.4,0.5,0.1,ND
Harina de papa,19,66,1.5,0.1,15,1.1,9.6,6.3,3.2,6.5,ND
